"GameName","AchievementName","AchievementPageURL","Gamerscore","TAScore","TARatio","DLCName","Unachieveable",
"Cooking Simulator","Every slice a masterpiece","https://www.trueachievements.com/a339170/every-slice-a-masterpiece-achievement","25","25","1","Pizza","True",
"Cooking Simulator","Gear Up","https://www.trueachievements.com/a378382/gear-up-achievement","30","30","1","Shelter","True",
"Cooking Simulator","I Can Do This All Day","https://www.trueachievements.com/a378379/i-can-do-this-all-day-achievement","100","100","1","Shelter","True",
"Cooking Simulator","It stings","https://www.trueachievements.com/a378381/it-stings-achievement","50","50","1","Shelter","True",
"Cooking Simulator","It's strictly business","https://www.trueachievements.com/a339166/its-strictly-business-achievement","25","25","1","Pizza","True",
"Cooking Simulator","Pizza time","https://www.trueachievements.com/a339168/pizza-time-achievement","25","25","1","Pizza","True",
"Madden NFL 21 (Xbox One)","Move Master","https://www.trueachievements.com/a306774/move-master-achievement","30","30","1.01","","",
"EA SPORTS Rory McIlroy PGA TOUR","Pin Seeker","https://www.trueachievements.com/a202225/pin-seeker-achievement","15","15","1.04","","",
"Dead Space 2","Derailed","https://www.trueachievements.com/a146747/derailed-achievement","20","21","1.06","","",
"ReactorX 2 (Windows)","Level 21","https://www.trueachievements.com/a426466/level-21-achievement","200","214","1.07","Title Update 3","",
"ReactorX 2 (Windows)","Level 22","https://www.trueachievements.com/a426467/level-22-achievement","200","214","1.07","Title Update 3","",
"ReactorX 2 (Windows)","Level 23","https://www.trueachievements.com/a426468/level-23-achievement","200","214","1.07","Title Update 3","",
"ReactorX 2 (Windows)","Level 24","https://www.trueachievements.com/a426469/level-24-achievement","200","214","1.07","Title Update 3","",
"ReactorX 2 (Windows)","Level 25","https://www.trueachievements.com/a426470/level-25-achievement","200","214","1.07","Title Update 3","",
"Dead Space 2","One Small Step","https://www.trueachievements.com/a146758/one-small-step-achievement","10","10","1.08","","",
"HITMAN 2","Infiltrator","https://www.trueachievements.com/a263228/infiltrator-achievement","20","21","1.09","Hawke's Bay","",
"Red Dead Redemption 2","Back in the Mud","https://www.trueachievements.com/a262333/back-in-the-mud-achievement","20","21","1.09","","",
"RiME","Don't say no","https://www.trueachievements.com/a231707/dont-say-no-achievement","25","27","1.11","","",
"Dead Space 2","Clever Girls","https://www.trueachievements.com/a146757/clever-girls-achievement","10","11","1.11","","",
"Halo Infinite","First Contact","https://www.trueachievements.com/a346426/first-contact-achievement","10","11","1.11","Campaign","",
"Rayland","Level 13","https://www.trueachievements.com/a421125/level-13-achievement","200","223","1.11","Title Update 4","",
"Dead Space 2","Torment Me No More","https://www.trueachievements.com/a146756/torment-me-no-more-achievement","20","22","1.13","","",
"Call of Duty: Black Ops 4","Welcome to the Club","https://www.trueachievements.com/a261523/welcome-to-the-club-achievement","15","16","1.13","","",
"Rayland","Level 25","https://www.trueachievements.com/a421126/level-25-achievement","200","226","1.13","Title Update 4","",
"Lab Crisis","Level 20","https://www.trueachievements.com/a419152/level-20-achievement","200","227","1.13","Title Update 4","",
"Lab Crisis","Level 21","https://www.trueachievements.com/a419153/level-21-achievement","200","227","1.13","Title Update 4","",
"Lab Crisis","Level 22","https://www.trueachievements.com/a419154/level-22-achievement","200","227","1.13","Title Update 4","",
"Lab Crisis","Level 23","https://www.trueachievements.com/a419155/level-23-achievement","200","227","1.13","Title Update 4","",
"Lab Crisis","Level 24","https://www.trueachievements.com/a419156/level-24-achievement","200","227","1.13","Title Update 4","",
"Rayland","Level 29","https://www.trueachievements.com/a421127/level-29-achievement","200","227","1.13","Title Update 4","",
"50 Years","Pantheon of fat chickens 5","https://www.trueachievements.com/a354085/pantheon-of-fat-chickens-5-achievement","200","228","1.14","Title Update 4","",
"Rayland","Level 34","https://www.trueachievements.com/a421128/level-34-achievement","200","228","1.14","Title Update 4","",
"50 Years","Temple of Defenders 5","https://www.trueachievements.com/a354086/temple-of-defenders-5-achievement","200","228","1.14","Title Update 4","",
"Gabriels Worlds The Adventure (Xbox One)","Third Normal Box","https://www.trueachievements.com/a399338/third-normal-box-achievement","200","229","1.14","Title Update 4","",
"50 Years","Legends of the Forest 5","https://www.trueachievements.com/a354089/legends-of-the-forest-5-achievement","200","229","1.14","Title Update 4","",
"Gabriels Worlds The Adventure (Xbox One)","Pagan Min asked him right?","https://www.trueachievements.com/a399344/pagan-min-asked-him-right-achievement","100","114","1.14","Title Update 4","",
"VALORANT","Five in, five out.","https://www.trueachievements.com/a435801/five-in-five-out-achievement","100","114","1.14","","",
"50 Years","Legends of the miners 5","https://www.trueachievements.com/a354088/legends-of-the-miners-5-achievement","200","229","1.14","Title Update 4","",
"Halo Infinite","Infinity Down","https://www.trueachievements.com/a346466/infinity-down-achievement","10","11","1.14","Campaign","",
"Rayland","Level 39","https://www.trueachievements.com/a421129/level-39-achievement","200","229","1.14","Title Update 4","",
"Gabriels Worlds The Adventure (Xbox One)","Mr.Maker","https://www.trueachievements.com/a399342/mrmaker-achievement","100","114","1.14","Title Update 4","",
"Destiny 2","The People's Hero","https://www.trueachievements.com/a239708/the-peoples-hero-achievement","40","45","1.14","","",
"For Honor","Welcome To The Blackstone Legion","https://www.trueachievements.com/a229441/welcome-to-the-blackstone-legion-achievement","10","11","1.14","","",
"ReactorX 2 (Windows)","Level 26","https://www.trueachievements.com/a454651/level-26-achievement","200","230","1.15","Title Update 4","",
"ReactorX 2 (Windows)","Level 27","https://www.trueachievements.com/a454652/level-27-achievement","200","230","1.15","Title Update 4","",
"Injustice: Gods Among Us","Sidekick","https://www.trueachievements.com/a175631/sidekick-achievement","10","11","1.15","","",
"Gears 5","Not There to Buy a Timeshare","https://www.trueachievements.com/a282014/not-there-to-buy-a-timeshare-achievement","10","11","1.15","","",
"ReactorX 2 (Windows)","Level 28","https://www.trueachievements.com/a454653/level-28-achievement","200","230","1.15","Title Update 4","",
"50 Years","Equality Church 5","https://www.trueachievements.com/a354087/equality-church-5-achievement","200","230","1.15","Title Update 4","",
