"GameName","AchievementName","AchievementPageURL","Gamerscore","TAScore","TARatio","DLCName","UnlockDate",
"Forza Horizon 5","The Grand Opening","https://www.trueachievements.com/a364964/the-grand-opening-achievement","10","32","3.25","Series 10","2026-02-01T22:17:42.000Z",
"Forza Horizon 5","You're On Thin Ice","https://www.trueachievements.com/a470755/youre-on-thin-ice-achievement","20","182","9.13","Horizon Realms","2026-02-01T19:45:22.000Z",
"Forza Horizon 5","Tidy Little Bow","https://www.trueachievements.com/a470756/tidy-little-bow-achievement","20","184","9.2","Horizon Realms","2026-02-01T18:24:00.000Z",
"Forza Horizon 5","You're the Champion","https://www.trueachievements.com/a344805/youre-the-champion-achievement","10","25","2.57","","2026-02-01T17:04:21.000Z",
"Forza Horizon 5","Right At Home","https://www.trueachievements.com/a470758/right-at-home-achievement","20","181","9.05","Horizon Realms","2026-02-01T15:47:43.000Z",
"Forza Horizon 5","Enter the Realm","https://www.trueachievements.com/a470752/enter-the-realm-achievement","10","41","4.16","Horizon Realms","2026-02-01T15:40:18.000Z",
"Forza Horizon 5","Ford of the Wings","https://www.trueachievements.com/a344795/ford-of-the-wings-achievement","20","76","3.84","","2026-02-01T15:34:08.000Z",
"Forza Horizon 5","Water Performance","https://www.trueachievements.com/a344804/water-performance-achievement","20","105","5.25","","2026-02-01T15:21:06.000Z",
"Forza Horizon 5","Lay of The Land","https://www.trueachievements.com/a450341/lay-of-the-land-achievement","10","68","6.85","Hide and Seek","2026-01-31T17:20:21.000Z",
"Forza Horizon 5","Hider and Seeker","https://www.trueachievements.com/a450336/hider-and-seeker-achievement","10","61","6.1","Hide and Seek","2026-01-31T17:20:18.000Z",
"Forza Horizon 5","Blending In","https://www.trueachievements.com/a450342/blending-in-achievement","15","99","6.62","Hide and Seek","2026-01-31T17:20:15.000Z",
"Forza Horizon 5","Catching a Break","https://www.trueachievements.com/a450345/catching-a-break-achievement","50","677","13.54","Hide and Seek","2026-01-31T17:18:53.000Z",
"Forza Horizon 5","The Big Reveal","https://www.trueachievements.com/a450343/the-big-reveal-achievement","15","75","5.04","Hide and Seek","2026-01-31T16:57:42.000Z",
"PowerWash Simulator","Baaath time!","https://www.trueachievements.com/a469386/baaath-time-achievement","10","25","2.58","Wallace & Gromit Special Pack","2026-01-31T01:55:43.000Z",
"Forza Horizon 5","Better Than New","https://www.trueachievements.com/a344793/better-than-new-achievement","20","44","2.24","","2026-01-30T04:34:01.000Z",
"PowerWash Simulator","Right house proud","https://www.trueachievements.com/a469380/right-house-proud-achievement","20","51","2.55","Wallace & Gromit Special Pack","2026-01-30T00:29:41.000Z",
"PowerWash Simulator","Pond possession!","https://www.trueachievements.com/a469385/pond-possession-achievement","10","27","2.73","Wallace & Gromit Special Pack","2026-01-29T20:22:11.000Z",
"PowerWash Simulator","Home Sweet Home","https://www.trueachievements.com/a469379/home-sweet-home-achievement","20","50","2.52","Wallace & Gromit Special Pack","2026-01-29T16:14:08.000Z",
"PowerWash Simulator","All aboard!","https://www.trueachievements.com/a469384/all-aboard-achievement","10","25","2.55","Wallace & Gromit Special Pack","2026-01-29T05:29:33.000Z",
"Untitled Goose Game","The Pub, Quickly","https://www.trueachievements.com/a289658/the-pub-quickly-achievement","80","275","3.44","","2026-01-29T04:41:45.000Z",
"Untitled Goose Game","A Secret Prize","https://www.trueachievements.com/a289634/a-secret-prize-achievement","95","330","3.47","","2026-01-29T04:41:45.000Z",
"Dead by Daylight","Conniption","https://www.trueachievements.com/a260311/conniption-achievement","20","108","5.4","Shattered Bloodline","2026-01-29T03:49:08.000Z",
"Dead by Daylight","Adept Dustin","https://www.trueachievements.com/a616970/adept-dustin-achievement","40","207","5.18","Unknown Pack","2026-01-29T03:02:58.000Z",
"Untitled Goose Game","The Back Gardens, Quickly","https://www.trueachievements.com/a289657/the-back-gardens-quickly-achievement","80","272","3.4","","2026-01-29T01:45:25.000Z",
"Scrap Divers","Stage 5","https://www.trueachievements.com/a611766/stage-5-achievement","200","409","2.04","Title Update","2026-01-29T00:22:52.000Z",
"Untitled Goose Game","The High Street, Quickly","https://www.trueachievements.com/a289656/the-high-street-quickly-achievement","80","250","3.12","","2026-01-28T13:36:34.000Z",
"Untitled Goose Game","The Garden, Quickly","https://www.trueachievements.com/a289655/the-garden-quickly-achievement","80","242","3.03","","2026-01-28T13:25:58.000Z",
"Dead by Daylight","Adept Eleven","https://www.trueachievements.com/a616971/adept-eleven-achievement","20","104","5.21","Unknown Pack","2026-01-28T03:12:08.000Z",
"Untitled Goose Game","Thank you for playing our videogame","https://www.trueachievements.com/a289639/thank-you-for-playing-our-videogame-achievement","80","128","1.6","","2026-01-28T02:24:26.000Z",
"Untitled Goose Game","Beautiful","https://www.trueachievements.com/a289646/beautiful-achievement","15","33","2.22","","2026-01-27T19:29:29.000Z",
"Untitled Goose Game","Pretty","https://www.trueachievements.com/a289650/pretty-achievement","15","33","2.26","","2026-01-27T14:44:43.000Z",
"Untitled Goose Game","Cheeky","https://www.trueachievements.com/a289654/cheeky-achievement","15","32","2.18","","2026-01-27T14:36:16.000Z",
"Untitled Goose Game","Elegant","https://www.trueachievements.com/a289653/elegant-achievement","15","32","2.19","","2026-01-27T14:34:56.000Z",
"Untitled Goose Game","Careful","https://www.trueachievements.com/a289648/careful-achievement","15","32","2.13","","2026-01-27T14:27:03.000Z",
"Untitled Goose Game","Nimble","https://www.trueachievements.com/a289651/nimble-achievement","15","32","2.19","","2026-01-26T06:18:13.000Z",
"Untitled Goose Game","Intrepid","https://www.trueachievements.com/a289649/intrepid-achievement","15","33","2.24","","2026-01-26T05:40:14.000Z",
"Untitled Goose Game","Lovely","https://www.trueachievements.com/a289652/lovely-achievement","15","32","2.16","","2026-01-26T05:37:11.000Z",
"Untitled Goose Game","The Pub","https://www.trueachievements.com/a289638/the-pub-achievement","70","115","1.64","","2026-01-26T05:30:52.000Z",
"Fall Guys","Veteran Status","https://www.trueachievements.com/a362674/veteran-status-achievement","100","330","3.3","","2026-01-26T04:49:04.000Z",
"Starbound (Windows)","A Tireless Task","https://www.trueachievements.com/a317017/a-tireless-task-achievement","20","31","1.55","","2026-01-26T00:59:47.000Z",
